date,time,sysbootmillisec,pressmillisec
2020-01-13,15:35:42,6650,207
2020-01-13,15:38:48,38281,225
2020-01-13,15:41:57,42624,207
2020-01-13,15:46:50,46950,198
2020-01-13,16:24:26,51265,141
2020-01-13,17:08:22,55526,122
2020-01-14,16:12:23,59771,226
2020-01-14,17:17:01,64116,178
2020-01-14,17:19:37,68412,160
2020-01-15,11:24:03,72690,103
2020-01-15,11:29:14,76912,113
2020-01-15,11:29:15,77183,130
2020-01-15,12:26:28,81442,114
2020-01-15,12:26:28,81723,121
2020-01-15,12:31:33,85964,85
2020-01-15,12:31:34,86482,186
2020-01-15,20:08:00,90787,141
2020-01-15,20:08:01,91096,121
2020-01-16,19:19:02,95338,197
2020-01-16,19:21:36,137206,94
2020-01-16,19:21:37,137499,121
2020-01-16,20:50:24,141740,94
2020-01-16,20:50:33,145959,188
2020-01-16,20:50:34,146252,158
2020-01-16,21:15:41,150533,113
2020-01-17,17:00:42,154765,197
2020-01-17,17:01:41,159079,197
2020-01-17,17:32:06,163401,141
2020-01-17,17:42:33,167664,104
2020-01-17,17:42:34,167946,112
2020-01-17,17:45:17,172180,114
2020-01-17,17:45:18,172388,94
2020-01-17,17:49:04,176609,104
2020-01-17,17:49:04,176807,84
2020-01-18,13:24:03,181013,85
2020-01-18,13:24:03,181225,121
2020-01-18,18:35:31,185468,85
2020-01-18,18:35:31,185679,103
2020-01-18,20:23:01,189985,113
2020-01-18,20:23:02,190234,75
2020-01-18,20:26:32,194422,123
2020-01-18,20:26:32,194639,121
2020-01-18,20:34:26,198874,85
2020-01-18,20:34:27,199127,144
2020-01-18,20:49:04,203388,123
2020-01-18,20:49:05,203605,93
2020-01-19,15:04:05,6655,151
2020-01-19,15:04:05,6956,181
2020-01-19,17:43:32,56565,103
2020-01-19,17:43:32,56753,94
2020-01-19,19:12:17,60957,122
2020-01-19,19:12:18,61122,131
2020-01-20,11:37:55,65365,169
2020-01-20,11:37:56,65607,103
2020-01-20,11:59:42,69826,104
2020-01-20,11:59:42,70067,65
2020-01-20,13:57:43,74246,76
2020-01-20,13:57:43,74417,47
2020-01-20,13:57:43,74528,76
2020-01-20,13:59:21,78722,75
2020-01-20,13:59:21,78872,84
2020-01-20,14:09:00,83068,85
2020-01-20,14:09:01,83310,140
2020-01-20,14:59:44,87563,169
2020-01-20,14:59:44,87906,167
2020-01-21,14:02:37,92190,94
2020-01-21,14:02:37,92452,177
2020-01-21,14:09:26,96743,113
2020-01-21,14:09:26,96910,94
2020-01-21,15:46:03,101121,122
2020-01-21,15:46:03,101297,103
2020-01-23,11:13:57,105514,94
2020-01-23,11:13:57,105675,122
2020-01-23,16:48:22,409754,76
2020-01-23,17:31:05,452929,66
2020-01-23,17:31:06,453377,149
2020-01-23,17:32:03,457720,133
2020-01-23,17:32:03,457978,66
2020-01-23,17:42:50,462158,85
2020-01-23,17:42:50,462337,140
2020-01-23,17:58:11,466598,151
2020-01-23,17:58:11,466865,131
2020-01-23,18:02:53,471113,169
2020-01-23,18:02:53,471419,121
2020-01-24,09:21:52,475662,66
2020-01-24,09:21:52,475874,132
2020-01-24,10:32:37,480121,103
2020-01-24,10:32:37,480330,93
2020-01-24,18:37:38,484538,169
2020-01-24,18:40:38,488825,10
2020-01-24,18:40:39,489285,185
2020-01-24,18:40:39,489609,103
2020-01-24,20:26:50,493835,95
2020-01-24,20:26:50,494160,112
2020-01-25,14:34:30,498388,151
2020-01-25,14:34:31,498811,191
2020-01-25,15:00:12,503122,104
2020-01-25,15:00:13,503352,112
2020-01-26,13:08:57,507582,141
2020-01-26,16:53:45,511838,122
