date,time,weekday,value,week
04-02-2020,06:02,1,3,Tue
04-02-2020,08:15,1,3,Tue
04-02-2020,10:34,1,2,Tue
04-02-2020,12:20,1,3,Tue
04-02-2020,12:35,1,1,Tue
04-02-2020,13:31,1,2,Tue
04-02-2020,14:13,1,2,Tue
04-02-2020,15:01,1,3,Tue
04-02-2020,16:42,1,1,Tue
04-02-2020,17:11,1,1,Tue
04-02-2020,17:25,1,1,Tue
04-02-2020,18:02,1,3,Tue
04-02-2020,21:07,1,3,Tue
05-02-2020,06:02,2,3,Wed
05-02-2020,08:19,2,3,Wed
05-02-2020,12:07,2,3,Wed
05-02-2020,15:08,2,3,Wed
05-02-2020,18:12,2,3,Wed
05-02-2020,21:12,2,3,Wed
