date,time,weekday,value,week
17-02-2020,08:15,0,3,Mon
17-02-2020,08:38,0,2,Mon
17-02-2020,09:30,0,1,Mon
17-02-2020,15:15,0,3,Mon
17-02-2020,18:14,0,3,Mon
17-02-2020,21:14,0,3,Mon
18-02-2020,08:20,1,3,Tue
18-02-2020,12:07,1,3,Tue
18-02-2020,12:15,1,2,Tue
18-02-2020,15:10,1,3,Tue
18-02-2020,16:49,1,2,Tue
18-02-2020,17:34,1,2,Tue
19-02-2020,08:20,2,3,Wed
19-02-2020,15:09,2,3,Wed
19-02-2020,18:04,2,3,Wed
20-02-2020,08:24,3,3,Thur
20-02-2020,09:01,3,1,Thur
20-02-2020,09:21,3,1,Thur
20-02-2020,12:15,3,3,Thur
20-02-2020,12:27,3,2,Thur
20-02-2020,13:55,3,2,Thur
20-02-2020,14:23,3,1,Thur
20-02-2020,14:57,3,1,Thur
20-02-2020,15:10,3,3,Thur
20-02-2020,18:14,3,3,Thur
21-02-2020,08:36,4,3,Fri
21-02-2020,12:18,4,3,Fri
21-02-2020,15:06,4,3,Fri
22-02-2020,08:28,5,3,Sat
22-02-2020,12:21,5,3,Sat
22-02-2020,15:24,5,3,Sat
22-02-2020,18:37,5,3,Sat
23-02-2020,08:23,6,3,Sun
23-02-2020,12:11,6,3,Sun
23-02-2020,13:48,6,3,Sun
23-02-2020,17:13,6,3,Sun
